"Distribution Center","Vendor#","Vendor Name","Date From","Date Thru","Total Due","Bid","Bid Description","Item","Pack","Size","Description","UPC","Vendor Item#","Contract ID","Qty","Each","Allowance","Extended Amt","Invoice Date","Invoice#","Customer#","Customer Name","Qty","Guar Cost","Actual Cost","Allowance","Extended Amt"
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/18/2022,4325887   ,96420     ,HUNTER ACRES CARING CTR       ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,04/01/2022,4333733   ,96420     ,HUNTER ACRES CARING CTR       ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/21/2022,4327015   ,98815     ,CLINTON HEALTHCARE &          ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/09/2022,4320403   ,99553     ,THE MANOR                     ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/16/2022,4324392   ,99659     ,SHADY OAKS HEALTHCARE CTR     ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/29/2022,4331549   ,103445    ,LAKEVIEW HEALTH CARE &        ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/08/2022,4319458   ,113820    ,MAYWOOD TERRACE LIVING CT     ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/02/2022,4316490   ,133460    ,PUXICO NURSING & REHAB CT     ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/14/2022,4322851   ,137310    ,RIDGE CREST NURSING HOME      ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/17/2022,4325073   ,137660    ,RIVER OAKS CARE CENTER        ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/31/2022,4332950   ,137660    ,RIVER OAKS CARE CENTER        ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/14/2022,4323207   ,142945    ,SARAH COMMUNITY, THE          ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/24/2022,4329476   ,142945    ,SARAH COMMUNITY, THE          ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/09/2022,4320362   ,198097    ,SOUTHGATE LIVING CENTER       ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/22/2022,4327622   ,215707    ,HICKORY MANOR                 ,1      ,30.56               ,37.99               ,7.43                ,7.43
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,202 ,NAVIGATOR 13.5% FOODBUY        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ARYZTA              ,18     ,0      ,7.43                ,              133.74,03/24/2022,4329082   ,55034764  ,WESTGATE                      ,1      ,30.56               ,37.99               ,7.43                ,7.43
