"Distribution Center","Vendor#","Vendor Name","Date From","Date Thru","Total Due","Bid","Bid Description","Item","Pack","Size","Description","UPC","Vendor Item#","Contract ID","Qty","Each","Allowance","Extended Amt","Invoice Date","Invoice#","Customer#","Customer Name","Qty","Guar Cost","Actual Cost","Allowance","Extended Amt"
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,581 ,CULINARY ARCHITECTS GSLR 410689,979377,48  ,4.66OZ ,LA BREA  ROLL BAGUETTE FRNCH DEMI PARBKD,'10781421021252,02125               ,LA BREA-ASPIRE      ,6      ,0      ,1.00                ,                6.00,03/11/2022,4321761   ,5804      ,BAXTER'S                      ,1      ,.00                 ,38.03               ,1.00                ,1.00
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,581 ,CULINARY ARCHITECTS GSLR 410689,979377,48  ,4.66OZ ,LA BREA  ROLL BAGUETTE FRNCH DEMI PARBKD,'10781421021252,02125               ,LA BREA-ASPIRE      ,6      ,0      ,1.00                ,                6.00,03/18/2022,4325914   ,5804      ,BAXTER'S                      ,1      ,.00                 ,38.03               ,1.00                ,1.00
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,581 ,CULINARY ARCHITECTS GSLR 410689,979377,48  ,4.66OZ ,LA BREA  ROLL BAGUETTE FRNCH DEMI PARBKD,'10781421021252,02125               ,LA BREA-ASPIRE      ,6      ,0      ,1.00                ,                6.00,03/24/2022,4329090   ,5804      ,BAXTER'S                      ,1      ,.00                 ,38.03               ,1.00                ,1.00
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,581 ,CULINARY ARCHITECTS GSLR 410689,979377,48  ,4.66OZ ,LA BREA  ROLL BAGUETTE FRNCH DEMI PARBKD,'10781421021252,02125               ,LA BREA-ASPIRE      ,6      ,0      ,1.00                ,                6.00,03/29/2022,4331453   ,5804      ,BAXTER'S                      ,1      ,.00                 ,38.03               ,1.00                ,1.00
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,581 ,CULINARY ARCHITECTS GSLR 410689,979377,48  ,4.66OZ ,LA BREA  ROLL BAGUETTE FRNCH DEMI PARBKD,'10781421021252,02125               ,LA BREA-ASPIRE      ,6      ,0      ,1.00                ,                6.00,04/01/2022,4333794   ,5804      ,BAXTER'S                      ,1      ,.00                 ,38.03               ,1.00                ,1.00
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,1000,HILTON SUPPLY MANAGEMENT       ,252957,14  ,17.14OZ,LA BREA  BREAD BAGUETTE FRNCH LG        ,'10781421021900,02190               ,ARYZTA/ASPIRE       ,5      ,0      ,9.76                ,               48.78,02/28/2022,4314926   ,55067302  ,LE MERIDIEN                   ,1      ,19.73               ,29.17               ,9.44                ,9.44
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,1000,HILTON SUPPLY MANAGEMENT       ,252957,14  ,17.14OZ,LA BREA  BREAD BAGUETTE FRNCH LG        ,'10781421021900,02190               ,ARYZTA/ASPIRE       ,5      ,0      ,9.76                ,               48.78,03/07/2022,4319124   ,55067302  ,LE MERIDIEN                   ,1      ,19.73               ,28.80               ,9.07                ,9.07
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,1000,HILTON SUPPLY MANAGEMENT       ,252957,14  ,17.14OZ,LA BREA  BREAD BAGUETTE FRNCH LG        ,'10781421021900,02190               ,ARYZTA/ASPIRE       ,5      ,0      ,9.76                ,               48.78,03/16/2022,4324574   ,55067302  ,LE MERIDIEN                   ,1      ,19.73               ,28.80               ,9.07                ,9.07
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,1000,HILTON SUPPLY MANAGEMENT       ,252957,14  ,17.14OZ,LA BREA  BREAD BAGUETTE FRNCH LG        ,'10781421021900,02190               ,ARYZTA/ASPIRE       ,5      ,0      ,9.76                ,               48.78,03/28/2022,4331161   ,55067302  ,LE MERIDIEN                   ,1      ,19.73               ,30.33               ,10.60               ,10.60
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,1000,HILTON SUPPLY MANAGEMENT       ,252957,14  ,17.14OZ,LA BREA  BREAD BAGUETTE FRNCH LG        ,'10781421021900,02190               ,ARYZTA/ASPIRE       ,5      ,0      ,9.76                ,               48.78,04/01/2022,4334125   ,55067302  ,LE MERIDIEN                   ,1      ,19.73               ,30.33               ,10.60               ,10.60
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,1203,HPSI DEVIATIONS                ,999316,320 ,1 OZ   ,OTIS SPU?COOKIE DGH CHOC CHIP TFF       ,'10013087581000,58100               ,OTIS SPUNKMEYE      ,1      ,0      ,14.07               ,               14.07,03/18/2022,4326139   ,12486     ,CARRIE ELLIGSON GIETNER       ,1      ,26.53               ,40.60               ,14.07               ,14.07
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,3682,AMERICAN FOOD & VENDING        ,993580,24  ,4 OZ   ,OTIS SPU MUFFIN WILD BLUBRY IW          ,'10091752001008,00100               ,ASPIRE              ,1      ,0      ,9.32                ,                9.32,03/03/2022,4317212   ,55085739  ,AMERICAN FOOD &               ,1      ,15.66               ,24.98               ,9.32                ,9.32
Performance Foodservice Middendorf                ,53628,ASPIRE BAKERIES LLC      ,02/28/2022,04/02/2022,515.90              ,3682,AMERICAN FOOD & VENDING        ,999315,320 ,1 OZ   ,VAL ZONE COOKIE DGH SUGAR TFF           ,'10013087581048,58104               ,ASPIRE              ,1      ,0      ,12.77               ,               12.77,03/08/2022,4319582   ,55085739  ,AMERICAN FOOD &               ,1      ,25.22               ,37.99               ,12.77               ,12.77
